selector_id,selector_name,period,n,pending,mean_pct,median_pct,win_pct,plus10_pct,plus20_pct,minus10_pct,minus20_pct,max_up_pct,max_down_pct,top3_ex_mean_pct,cash_pl_100_yen,required_capital_yen,capital_return_pct,simple_annualized_pct
volr20_low,Silence,2026-03,12,0,13.4999540154,11.5643906655,58.3333333333,58.3333333333,41.6666666667,16.6666666667,0,43.216080402,-14.6997929607,4.01588054356,93350,237900,39.2391761244,409.480422446
volr20_low,Silence,2026-04,8,0,-9.53128443631,-11.2197215335,12.5,12.5,0,62.5,25,10.6382978723,-25.9212198221,-16.5961546953,-44300,195000,-22.7179487179,-230.487788462
volr20_low,Silence,2026-05,7,0,-4.73419907142,-2.93103448276,28.5714285714,0,0,42.8571428571,14.2857142857,8.74848116646,-23.3590733591,-12.2351739487,-10900,172400,-6.32250580046,-72.1639945258
volr20_low,Silence,2026-06,5,0,-12.0985302819,-11.5384615385,20,0,0,60,20,9.23566878981,-29.7085201794,-24.1399743754,-31300,128400,-24.3769470405,-287.209583208
volr20_low,Silence,2026-08,1,0,-0.210526315789,-0.210526315789,0,0,0,0,0,-0.210526315789,-0.210526315789,,-100,47500,-0.210526315789,-9.61164473684
volr20_low,Silence,2026-09,2,0,39.7243388615,39.7243388615,100,100,100,0,0,41.3043478261,38.1443298969,,67400,170600,39.5076201641,1803.73274472
body_pct_low,Dive,2023-01,3,0,7.2586761858,5.6338028169,66.6666666667,33.3333333333,33.3333333333,0,0,24.7311827957,-8.58895705521,,5700,88900,6.41169853768,195.152066929
body_pct_low,Dive,2023-02,4,0,4.33612626762,7.834893437,75,50,0,25,0,16.3043478261,-14.6296296296,-14.6296296296,-9800,145500,-6.735395189,-123.002628866
body_pct_low,Dive,2023-03,3,0,16.4275986671,2.57862019089,66.6666666667,33.3333333333,33.3333333333,33.3333333333,0,61.4876033058,-14.7834274953,,30170.0012207,145400,20.7496569606,582.973583264
body_pct_low,Dive,2023-04,5,0,2.35858632958,-0.833683223273,40,20,0,20,0,19.1950464396,-12.5874125874,-6.78071928071,6233.33129883,167966.668701,3.71105252431,39.8657088708
body_pct_low,Dive,2023-05,9,0,-0.805335618477,-11.1111111111,44.4444444444,22.2222222222,22.2222222222,55.5555555556,0,29.9163179916,-13.6363636364,-10.2377424904,1100,225400,0.488021295475,8.10209627329
body_pct_low,Dive,2023-06,3,0,55.7891828534,54.3933054393,100,66.6666666667,66.6666666667,0,0,106.403940887,6.5703022339,,39600,120300,32.9177057357,1001.91209476
body_pct_low,Dive,2023-07,2,0,-3.86060272465,-3.86060272465,50,50,0,50,0,10.650887574,-18.3720930233,,-4300,76800,-5.59895833333,-204.497753906
body_pct_low,Dive,2023-08,4,0,-7.12340505805,-2.92397660818,25,0,0,25,25,2.88624787776,-25.5319148936,-25.5319148936,-4100,58900,-6.96095076401,-97.785963824
body_pct_low,Dive,2023-09,2,0,-7.73535855597,-7.73535855597,0,0,0,50,0,-0.566037735849,-14.9046793761,,-8900,110700,-8.03974706414,-293.645731707
body_pct_low,Dive,2023-10,10,0,5.9753251015,-2.36908554399,50,30,20,30,20,80.0838574423,-25.6666666667,-10.1783317839,15200,313300,4.85157995531,61.1035583389
body_pct_low,Dive,2023-12,4,0,-0.859639568165,-2.62340551718,25,25,25,25,0,21.5596330275,-19.7513802658,-19.7513802658,7403.33213806,131383.334541,5.63490960548,121.06520421
body_pct_low,Dive,2024-01,2,0,-3.92254824482,-3.92254824482,50,0,0,0,0,2.03442158266,-9.87951807229,,-7940.00091553,95780.0003052,-8.28983179184,-378.474861029
body_pct_low,Dive,2024-02,2,0,8.52947973344,8.52947973344,100,50,0,0,0,12.2291021672,4.82985729967,,12300,155700,7.89980732177,360.668171965
