detection_id,signal_date,symbol,company_name,signal_close,signal_volume,selector_id,selector_name,model_period,status,entry_date,entry_open,fifth_xtks_exit_date,fifth_xtks_exit_close,gross_return,one_hundred_shares_pl_yen,med_ret5,med_ret1,ret10,volr20,body_pct,rank_volr20,rank_body_pct,mean_rank,tail_cdf,tail_p,source_scope,source_sha256,signal_discord_url,notified_at,fundamental_status,fundamental_discord_url,fundamental_html,created_at,updated_at
2024-02-14|7689|mean_rank_volr20_body_pct,2024-02-14,7689,コパ・コーポレーション,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2024-02,mature,2024-02-15,911,2024-02-21,955,0.0482985729967,4400,-0.011262029948,,0.56529209622,3.06441014558,0.4375,1,1,1,0.999799244394,0.83391154,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-02-14|7689|volr20_low,2024-02-14,7689,コパ・コーポレーション,,,volr20_low,出来高沈静リバウンド,2024-02,mature,2024-02-15,911,2024-02-21,955,0.0482985729967,4400,-0.011262029948,,0.56529209622,3.06441014558,0.4375,1,1,1,0.999799244394,0.83391154,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-02-15|2970|body_pct_low,2024-02-15,2970,ＧＬＣ　ＧＲＯＵＰ,,,body_pct_low,陰線沈み込みリバウンド,2024-02,mature,2024-02-16,646,2024-02-22,725,0.122291021672,7900,-0.0188679245283,,0.396689802456,4.6966362779,-0.380753138075,1,1,1,0.999325078773,0.8112998,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-02-15|2970|dual_top1_agreement,2024-02-15,2970,ＧＬＣ　ＧＲＯＵＰ,,,dual_top1_agreement,2条件一致リバウンド,2024-02,mature,2024-02-16,646,2024-02-22,725,0.122291021672,7900,-0.0188679245283,,0.396689802456,4.6966362779,-0.380753138075,1,1,1,0.999325078773,0.8112998,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-02-15|2970|dual_top1_agreement_g3_no_acute_selloff,2024-02-15,2970,ＧＬＣ　ＧＲＯＵＰ,,,dual_top1_agreement_g3_no_acute_selloff,地合い安定・2条件一致,2024-02,mature,2024-02-16,646,2024-02-22,725,0.122291021672,7900,-0.0188679245283,,0.396689802456,4.6966362779,-0.380753138075,1,1,1,0.999325078773,0.8112998,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-02-15|2970|mean_rank_volr20_body_pct,2024-02-15,2970,ＧＬＣ　ＧＲＯＵＰ,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2024-02,mature,2024-02-16,646,2024-02-22,725,0.122291021672,7900,-0.0188679245283,,0.396689802456,4.6966362779,-0.380753138075,1,1,1,0.999325078773,0.8112998,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-02-15|2970|volr20_low,2024-02-15,2970,ＧＬＣ　ＧＲＯＵＰ,,,volr20_low,出来高沈静リバウンド,2024-02,mature,2024-02-16,646,2024-02-22,725,0.122291021672,7900,-0.0188679245283,,0.396689802456,4.6966362779,-0.380753138075,1,1,1,0.999325078773,0.8112998,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-05|7692|body_pct_low,2024-03-05,7692,アースインフィニティ,,,body_pct_low,陰線沈み込みリバウンド,2024-03,mature,2024-03-06,150,2024-03-12,140,-0.0666666666667,-1000,-0.00321640395111,,0.316666666667,0.730040790022,-0.709677419355,0.5,0.5,0.5,0.999136982855,0.8160237,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-05|7692|dual_top1_agreement,2024-03-05,7692,アースインフィニティ,,,dual_top1_agreement,2条件一致リバウンド,2024-03,mature,2024-03-06,150,2024-03-12,140,-0.0666666666667,-1000,-0.00321640395111,,0.316666666667,0.730040790022,-0.709677419355,0.5,0.5,0.5,0.999136982855,0.8160237,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-05|7692|dual_top1_agreement_g3_no_acute_selloff,2024-03-05,7692,アースインフィニティ,,,dual_top1_agreement_g3_no_acute_selloff,地合い安定・2条件一致,2024-03,mature,2024-03-06,150,2024-03-12,140,-0.0666666666667,-1000,-0.00321640395111,,0.316666666667,0.730040790022,-0.709677419355,0.5,0.5,0.5,0.999136982855,0.8160237,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-05|7692|mean_rank_volr20_body_pct,2024-03-05,7692,アースインフィニティ,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2024-03,mature,2024-03-06,150,2024-03-12,140,-0.0666666666667,-1000,-0.00321640395111,,0.316666666667,0.730040790022,-0.709677419355,0.5,0.5,0.5,0.999136982855,0.8160237,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-05|7692|volr20_low,2024-03-05,7692,アースインフィニティ,,,volr20_low,出来高沈静リバウンド,2024-03,mature,2024-03-06,150,2024-03-12,140,-0.0666666666667,-1000,-0.00321640395111,,0.316666666667,0.730040790022,-0.709677419355,0.5,0.5,0.5,0.999136982855,0.8160237,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
