signal_date,signal_timestamp,symbol,candidate_identity,entry_date,entry_open,exit_date,exit_close,gross_return,signal_close,legacy_gross_return
2026-06-11,2026-06-11 09:00:00,4179,4179|2026-06-11 09:00:00,2026-06-12,500.0,2026-06-18,560.0,0.1200000000000001,420.0,0.3333333333333332
2026-06-12,2026-06-12 09:00:00,6228,6228|2026-06-12 09:00:00,2026-06-15,790.0,2026-06-19,562.0,-0.28860759493670884,783.0,-0.2822477650063857
2026-06-15,2026-06-15 13:00:00,9237,9237|2026-06-15 13:00:00,2026-06-16,712.0,2026-06-22,798.0,0.1207865168539326,612.0,0.303921568627451
2026-06-16,2026-06-16 09:00:00,6634,6634|2026-06-16 09:00:00,2026-06-17,66.0,2026-06-23,79.0,0.19696969696969702,74.0,0.0675675675675675
2026-06-17,2026-06-17 09:00:00,198A,198A|2026-06-17 09:00:00,2026-06-18,146.0,2026-06-24,136.0,-0.06849315068493156,173.0,-0.2138728323699421
2026-06-17,2026-06-17 13:00:00,6740,6740|2026-06-17 13:00:00,2026-06-18,51.0,2026-06-24,60.0,0.17647058823529416,51.0,0.1764705882352941
2026-06-23,2026-06-23 09:00:00,9444,9444|2026-06-23 09:00:00,2026-06-24,248.0,2026-06-30,230.0,-0.07258064516129037,258.0,-0.1085271317829457
2026-06-24,2026-06-24 13:00:00,6740,6740|2026-06-24 13:00:00,2026-06-25,75.0,2026-07-01,54.0,-0.28,60.0,-0.0999999999999999
2026-06-29,2026-06-29 13:00:00,3989,3989|2026-06-29 13:00:00,2026-06-30,1325.0,2026-07-06,1420.0,0.07169811320754715,1145.0,0.2401746724890829
2026-06-29,2026-06-29 09:00:00,4935,4935|2026-06-29 09:00:00,2026-06-30,256.0,2026-07-06,335.0,0.30859375,236.0,0.4194915254237288
2026-07-02,2026-07-02 13:00:00,2492,2492|2026-07-02 13:00:00,2026-07-03,456.0,2026-07-09,497.0,0.08991228070175428,400.0,0.2424999999999999
2026-07-03,2026-07-03 13:00:00,6620,6620|2026-07-03 13:00:00,2026-07-06,841.0,2026-07-10,746.0,-0.11296076099881092,829.0,-0.1001206272617611
2026-07-08,2026-07-08 13:00:00,4265,4265|2026-07-08 13:00:00,2026-07-09,389.0,2026-07-15,360.0,-0.07455012853470433,399.0,-0.0977443609022556
2026-07-09,2026-07-09 13:00:00,9348,9348|2026-07-09 13:00:00,2026-07-10,462.0,2026-07-16,421.0,-0.08874458874458879,508.0,-0.171259842519685
2026-07-10,2026-07-10 09:00:00,7803,7803|2026-07-10 09:00:00,2026-07-13,366.0,2026-07-17,415.0,0.13387978142076506,348.0,0.1925287356321838
2026-07-21,2026-07-21 13:00:00,2345,2345|2026-07-21 13:00:00,2026-07-22,104.0,2026-07-28,93.0,-0.10576923076923073,107.0,-0.1308411214953271
2026-07-21,2026-07-21 13:00:00,4492,4492|2026-07-21 13:00:00,2026-07-22,419.0,2026-07-28,418.0,-0.0023866348448687846,419.0,-0.0023866348448687
2026-07-21,2026-07-21 13:00:00,7162,7162|2026-07-21 13:00:00,2026-07-22,276.0,2026-07-28,266.0,-0.036231884057971064,276.0,-0.036231884057971
2026-07-31,2026-07-31 09:00:00,4052,4052|2026-07-31 09:00:00,2026-08-03,422.0,2026-08-07,533.0,0.26303317535545023,342.0,0.5584795321637428
2026-08-10,2026-08-10 13:00:00,4840,4840|2026-08-10 13:00:00,2026-08-12,570.0,2026-08-18,541.0,-0.05087719298245619,570.0,-0.0508771929824561
2026-08-10,2026-08-10 13:00:00,504A,504A|2026-08-10 13:00:00,2026-08-12,562.0,2026-08-18,592.0,0.053380782918149405,572.0,0.034965034965035
2026-08-10,2026-08-10 13:00:00,6072,6072|2026-08-10 13:00:00,2026-08-12,1164.0,2026-08-18,1142.0,-0.018900343642611728,1074.0,0.0633147113594041
2026-08-20,2026-08-20 13:00:00,2998,2998|2026-08-20 13:00:00,2026-08-21,538.0,2026-08-27,558.0,0.037174721189590976,543.0,0.0276243093922652
2026-08-20,2026-08-20 13:00:00,4179,4179|2026-08-20 13:00:00,2026-08-21,360.0,2026-08-27,366.0,0.016666666666666607,359.0,0.0194986072423397
2026-08-20,2026-08-20 09:00:00,9552,9552|2026-08-20 09:00:00,2026-08-21,1091.0,2026-08-27,1085.0,-0.005499541704857891,1048.0,0.0353053435114503
2026-08-26,2026-08-26 09:00:00,7709,7709|2026-08-26 09:00:00,2026-08-27,55.0,2026-09-02,68.0,0.23636363636363633,60.0,0.1333333333333333
2026-08-28,2026-08-28 13:00:00,6907,6907|2026-08-28 13:00:00,2026-08-31,808.0,2026-09-04,786.0,-0.027227722772277252,804.0,-0.0223880597014924
